SMILES,Frequency,Percentage,MoleculeFrequency,MoleculePercentage
CC1CCC(C)C(C)(CCCC2(C)CCCC(C)(C)C2C)C1C,1,0.0000,1,0.0000
CCC(C)C1CCC(C)(CCCC(C)(C)CC)C1CC,2,0.0000,2,0.0000
c1ccc(cc1)c(cCCCCCcc(c2ccccc2)CC)CC,6,0.0000,6,0.0000
FF,1,0.0000,1,0.0000
CCC1CCC2(C)C(CCC3C4(C)CCCC(C)(C)C4CCC32C)C1CC,6,0.0000,6,0.0000
*OC(=O)C(O[H])(C(=O)O*)N(*)N(*)C(*)=O,1,0.0000,1,0.0000
c1ccc2cc(ccc2c1)-c3cc4ccccc4cc3-c5ccc6ccccc6c5,1,0.0000,1,0.0000
cccc(ccccC(CC)C(ccc)C)C,3,0.0000,3,0.0000
[CH2-]CCCC,1,0.0000,1,0.0000
ccc(c1ccccc1)c2ccccc2,1,0.0000,1,0.0000
II,1,0.0000,1,0.0000
CC1CCC(C)C1(C)C,12,0.0000,12,0.0001
*OC(=O)OC=C,13,0.0000,13,0.0001
CCC1C2CCC3C(C)(CC)CCCC3(C)C2(C)CCC1(C)CC,1,0.0000,1,0.0000
C1CC2C3CCC(C3)C2C1,1,0.0000,1,0.0000
cccc(c)CCCCCCCCCCCC,14,0.0000,13,0.0001
*C(=O)C=CC=CC=C,128,0.0001,126,0.0008
CC(C)CCCC1(C)CCC(C)C1,1,0.0000,1,0.0000
*C(=O)C=CC=CC=O,6,0.0000,6,0.0000
*OCOC(=O)C(*)=O,2,0.0000,2,0.0000
CCCC(CC(C)CC)C(C)C(C)C,4,0.0000,4,0.0000
CCC1(C)CCC2(C)CCC(C)CC2C1(C)C,4,0.0000,4,0.0000
CCCCCCCC(C)C1(C)CCC2C(C)(C)CCCC2(C)C1,7,0.0000,7,0.0000
CC1CCCC2C1(C)CCC3C(C)C(C)(CCC(C)(C)C)CCC32C,2,0.0000,2,0.0000
c1ccc(cc1)C2CC(C)C(C)C2(C)C,2,0.0000,2,0.0000
c1ccc(cc1)cc2ccc(cc2)CC,11,0.0000,11,0.0001
cc(cc(cCCCCCC)C)C,1,0.0000,1,0.0000
CC1(C)CCCC23CC4CCCC3C4(C)CCC12,54,0.0000,54,0.0003
c1cc(ccc1C)C(C)CCCC,13,0.0000,13,0.0001
CCCCC1(C)CCCC1,2,0.0000,2,0.0000
CCCC1CCC1(C)C,10,0.0000,10,0.0001
*C(=O)C=CC#CC=CC=CC=CC=CC=CC=CC=CC#CC=CC(*)=O,1,0.0000,1,0.0000
*OC(=O)OCO*,3,0.0000,3,0.0000
c1cc(cc(c1)CC2C(C(C)C(C)CCC)C2(C)C)C,2,0.0000,2,0.0000
*OC(=O)C(=C)C(O[H])=CC(=O)C=CC=CC=C,1,0.0000,1,0.0000
*OCOCOC=CC(=O)OCOC(=O)C=C,6,0.0000,6,0.0000
c1ccc(cc1)C(CCC)CCCCCCC,1,0.0000,1,0.0000
c1ccc(cc1)CCCCCCCCCCCCCCc2ccccc2,10,0.0000,10,0.0001
c1ccc(cc1)CC2CccCC2,1,0.0000,1,0.0000
cC,193,0.0001,191,0.0012
*[Se+](*)*,1,0.0000,1,0.0000
*OP(=S)(O*)O*,1,0.0000,1,0.0000
cc,1464,0.0009,1065,0.0067
CCCCC(C)C1CCC2(C)C(CCC2C1C)C(C)CC(CC)C3CC3C,1,0.0000,1,0.0000
c1ccc(cc1)C2c3ccccc3C4c5c(cccc5C2)-c6ccccc6C4,1,0.0000,1,0.0000
*N(*)C=C(C=C)C(=O)O[H],4,0.0000,4,0.0000
CC(C)C(C)C1CC1C(C)C2CCC3C4CCC(C)C(C)C4CCC23C,3,0.0000,3,0.0000
*OP(=S)(O*)S*,2,0.0000,2,0.0000
cc(cccCCCCC(C)C)C,5,0.0000,5,0.0000
c1cccc(c-c1)C,5,0.0000,5,0.0000
CCCCCCC1CC1CCCC(C)CC,1,0.0000,1,0.0000
cc(cc1ccccc1)-c2cccc(c2)CCCC,1,0.0000,1,0.0000
c1ccc(c(c1)C)C(CC)CC(CC)C(c2ccccc2C)(C)CC,1,0.0000,1,0.0000
cc1c2ccccc2C(C)(C)C(CC)C1C,1,0.0000,1,0.0000
*OP(=O)(O*)O[H],116,0.0001,110,0.0007
c1ccc(cc1)c(cCCC2CCCCC2C)CC,33,0.0000,33,0.0002
CCC(C)C1CCC2(C)C3CCC(C(C)C)C(C)(CC)C3CCC12C,1,0.0000,1,0.0000
CCC(C)CCC1C(C)CCC2C(C)(C)CCCC12C,48,0.0000,48,0.0003
CCCC1CCC(C)C1(C)CCCC(C)(CC)C(C)C(C)C,20,0.0000,20,0.0001
*C(=O)OCOC(OC(*)=O)C=CC(*)=O,3,0.0000,3,0.0000
c1ccc2c(c1)CCC2CC,4,0.0000,4,0.0000
c1cc(ccc1CCC)C2(C)CCCC(C)(C)C2C,4,0.0000,4,0.0000
CC1CCCC2C(C)(C)CCCC12C,67,0.0000,66,0.0004
c1ccc2c(c1)C3ccCC2C3,3,0.0000,3,0.0000
c1ccc(cc1)c(cCCc2ccccc2C)CC,1,0.0000,1,0.0000
CCCCC(C)CCCC(C)CCC,16,0.0000,16,0.0001
CC(C)CCCCC(C)(C)C(C)C,3,0.0000,3,0.0000
c1ccc(cc1)-cc(cc2cc(cc(c2)CC)C)C,2,0.0000,2,0.0000
[H]OC1OC(=O)C(C=C)=C1,10,0.0000,10,0.0001
N(=C)C=C,13,0.0000,13,0.0001
CCC1CCC2(C)C(C)C(C)C(CC)CC2C1C,1,0.0000,1,0.0000
CCC(C)C1CCC2(C)C1(C)CCC3C(C)(CC)CCCC32C,1,0.0000,1,0.0000
c1ccc2c(c1)cccc2-c3cccc4c5ccccc5ccc43,1,0.0000,1,0.0000
*S[S+]([O-])C=C,3,0.0000,3,0.0000
cc(cc1ccccc1C)CCC2(C)CCC3C(C)(C)CCCC32C,1,0.0000,1,0.0000
C1CCC2CCCC2C1,5,0.0000,3,0.0000
cccc1cccc(c1)C,139,0.0001,138,0.0009
CCCCC1(C)CCC2(C)C(CCC2C(C)C)C1,1,0.0000,1,0.0000
*OC=CC(=O)C1(Cl)OC1C(Cl)=C,1,0.0000,1,0.0000
*OC(O*)OCOC(*)=O,5,0.0000,5,0.0000
*N(*)C1=NC(=O)C(=C)N1*,1,0.0000,1,0.0000
*SSSC=C,3,0.0000,3,0.0000
*OC(=O)C(=C)N(*)C=CC(=O)C=C,1,0.0000,1,0.0000
CC1CCC2C(CCC3C(C)CCCC32C)C1C,1,0.0000,1,0.0000
c1ccc(cc1)Cc2ccc(cc2)Cc3ccc(cc3)C,1,0.0000,1,0.0000
CC1CCCC(C)(C)C1CCCC2(C)CCC(C(C)CCC3(C)CC3(C)C)C2(C)C,1,0.0000,1,0.0000
c1ccc(cc1)C(C)CCCCCCCCCC,1,0.0000,1,0.0000
c1ccc(cc1)CCc2ccc(cc2)-c3ccc(cc3)CCc4ccccc4,2,0.0000,2,0.0000
c1cc(ccc1C(C)C)C2(C)CCCC(C)(C)C2C,50,0.0000,50,0.0003
ccc(c)CCCC1CCCC(C)C1C,1,0.0000,1,0.0000
[H]OC(=O)C=C,2136,0.0013,2092,0.0131
c1cc2ccc(cc2c(c1)-c3ccc(c(c3)CC)CCC)C,7,0.0000,7,0.0000
*OC=1C(=O)C2OC2C(=O)C1O[H],1,0.0000,1,0.0000
[H]OC(=C)C(=O)C(=C)C=C,3,0.0000,3,0.0000
[H]OC(=O)C=O,1,0.0000,1,0.0000
c1ccc2c(c1)c3c(c4c2CCCC4)CCCC3,1,0.0000,1,0.0000
*OC1(O[H])C=CC(=O)C=C1C(=C)C=C,1,0.0000,1,0.0000
cccc1cccc(c1)CCc2ccccc2,1,0.0000,1,0.0000
CCCCCCCC(C)CC(C)CCCC(C)CCC,1,0.0000,1,0.0000
c1ccc(cc1)cccCCCCCCCCCC(C)CC,1,0.0000,1,0.0000
*N(*)C=C1C=C(Br)C(=O)C(=C1S(*)(=O)=O)N(*)*,1,0.0000,1,0.0000
ccc(c1cccc(c1)c(cc)C)C,2,0.0000,2,0.0000
c1cc1C,1,0.0000,1,0.0000
c1ccc(cc1)-cccc2cccc(c2)-c(cc3ccccc3)c-c4ccccc4,7,0.0000,7,0.0000
cc(cc(cCC)C)C,19,0.0000,19,0.0001
ccc1c(c)CCC2C1(C)CCC3C(C)(C)CCCC23C,4,0.0000,4,0.0000
CCC1CC2CC3C(C)CCCC3C2C1C,10,0.0000,10,0.0001
CC(C)CC(C)C1CCCCC1C,2,0.0000,2,0.0000
*N=CC=CC=CC=C,3,0.0000,3,0.0000
cc(c1c(c)CCc(cCC1)c2ccccc2)CC,2,0.0000,2,0.0000
cc(c(ccC)CCC)C,1,0.0000,1,0.0000
CCCCCCCCCCCCC(C)CCCCCCCCCCCC(C)CCCC,1,0.0000,1,0.0000
*C(=O)C=CC(=O)C=CC=CC=C,5,0.0000,5,0.0000
CCC1(C)CCC1(C)C,1,0.0000,1,0.0000
[H]OC(=O)C(OP(=O)(O[H])O[H])=C,1,0.0000,1,0.0000
cc(c1ccccc1cCc2ccccc2)CCCC,2,0.0000,2,0.0000
*OC(=O)C(O*)(O[H])C(=CC(*)=O)C(*)=O,1,0.0000,1,0.0000
ccc(c(c)cCCC)c1ccccc1,2,0.0000,2,0.0000
cc1ccccc1c2cCCC2C,3,0.0000,3,0.0000
c1ccc(cc1)CCC(C)CC(C)CCCC,1,0.0000,1,0.0000
c1cc2c(ccc(c2CCC(C)C3CC(C)CCC3(C)CC)C)c(c1)C,1,0.0000,1,0.0000
CC1CCC2(C)CCC3(C)C4CCC5(C)C(C)CCCC5C4(C)CCC3(C)C2C1C,1,0.0000,1,0.0000
