SMILES,Frequency,Percentage,MoleculeFrequency,MoleculePercentage
*OC=CC(=O)C=C(O[H])C(O*)O*,1,0.0000,1,0.0000
CC(C)C1CC2C(C1C)C3CC(C)CCC3C2(C)C,19,0.0000,19,0.0001
*C(=O)N(*)C(C(=O)N(*)*)N(*)*,2,0.0000,2,0.0000
CCCC1C(C)CCC(C)C1(C)CC,120,0.0001,120,0.0008
cc(c1ccccc1)-c(c)c(c)C(c2ccccc2)(C)C,1,0.0000,1,0.0000
c1ccc(cc1)C2CCC(C)C2c3ccccc3,1,0.0000,1,0.0000
*N=C(N(*)*)N(*)CN(*)C(=O)C=NC(Br)=CBr,1,0.0000,1,0.0000
CCCC(C)CCCC(C)C(CC)CC,6,0.0000,6,0.0000
c1cc(c(c(c1)C)C(C)CC)C,7,0.0000,7,0.0000
ccc(ccc(cc)CCC)c1ccccc1,1,0.0000,1,0.0000
*OC(O*)C(O[H])(O[H])C(OC(*)=O)O[H],2,0.0000,2,0.0000
CCC1CC2CC(C)CC(C)C2C1,3,0.0000,3,0.0000
c1cc(c(cc1CC2C(C)CCC3C(C)(C)CCCC23C)Cc4cc(ccc4C)CC5C(C)CCC6C(C)(C)CCCC56C)C,2,0.0000,2,0.0000
*C(=O)OCN(C(*)=O)C(*)=O,1,0.0000,1,0.0000
CCC1CCC2C3(C)CCC(C(C)CCCC(C)C)C3(C)CCC42CC14CC,1,0.0000,1,0.0000
c1ccc2cc(c(cc2c1)-c3ccc(c(c3)CC)CCC)C,4,0.0000,4,0.0000
*N(*)C(=O)C=NO[H],213,0.0001,147,0.0009
c1ccc(cc1)CC2C(C)CCCC2(C)C,26,0.0000,26,0.0002
CCCCCCCCC(CCCC)C(CC)CCCC,2,0.0000,2,0.0000
cc(c1c(c-c2ccccc2)CCC1)C,2,0.0000,2,0.0000
c(c(c(cCCCCCC)C)C)CCCCC,1,0.0000,1,0.0000
*OC1C(=O)C(C(*)=O)=C(O[H])N1*,1,0.0000,1,0.0000
CC(C)C1CCC2(C)CCC3(C)CCC4CC4C3C12,1,0.0000,1,0.0000
CCC1(C)C(CCC2(C)C1CCC3C(CCC32C)C(C)CCC(C)C(C)C)C(C)C,2,0.0000,2,0.0000
c1cc(ccc1c2cC3(C)C(C2)CCC4C(C)CCCC43C)CCC(C)C,4,0.0000,4,0.0000
*C(=O)C12SSC(C(=O)N1*)N(C2=O)CN(*)*,4,0.0000,3,0.0000
c1cc-ccc1,25,0.0000,25,0.0002
CCC1(C)CCCC23CCC(CC12)C(C)C3,3,0.0000,3,0.0000
*OC(=O)C(=C)N(*)*,4,0.0000,4,0.0000
c1ccc2c(c1)c3ccccc3c(c2C)C,4,0.0000,4,0.0000
c1cc(ccc1CCC)C(C)C,4,0.0000,4,0.0000
ccc(c)CC1CC2C(C)CCCC2(C)C1CC,2,0.0000,2,0.0000
CCCCCC(C)C(C)(CC)CC,1,0.0000,1,0.0000
*OC=CN(*)C=O,1,0.0000,1,0.0000
c1cc(c(c(c1)CCC(C)C)CCCCC)C,1,0.0000,1,0.0000
*N(*)C(N(*)*)N(*)*,1,0.0000,1,0.0000
*C(=O)C1(OC1)C(=O)O[H],1,0.0000,1,0.0000
cc(c)c1ccccc1c,1,0.0000,1,0.0000
cc(c1cccc(c1)-cc(c2ccccc2)CC)CC,1,0.0000,1,0.0000
*OC=C1C=CC(=O)C(C(=O)O[H])=C1O[H],4,0.0000,4,0.0000
c1ccc(cc1)cc2ccc(cc2)CCCC,4,0.0000,4,0.0000
CCCC(C(C)CC)C(C)CCCC(C)(CC)C(CC)C(C)C,2,0.0000,2,0.0000
CCCCC(CCC)C(C)CC(C)C,10,0.0000,10,0.0001
c1ccc(cc1)CC2(C)C(C)CCC3(C)C4CCC(C)C4(C)CCC23,3,0.0000,3,0.0000
*C(=O)C=CN(*)C(=O)C=C,1,0.0000,1,0.0000
CC1CCC2CCCC2C1(C)C,1,0.0000,1,0.0000
c1cc(cc(cc1C)CC2C(C)CCC(C(C)C)C2C)C,1,0.0000,1,0.0000
c1ccc2cc3cc(ccc3cc2c1)C,2,0.0000,2,0.0000
c1ccc2c(c1)c3ccccc3c4c5cccc(c5c6c(cccc6CCC)c24)CCC,2,0.0000,2,0.0000
CCC1(C)CCCC2C3CCCC3CCC21,1,0.0000,1,0.0000
CCC(CCC(C)C)C(C)(CC)C(C)C(C)C,15,0.0000,15,0.0001
[H]OS(=O)(=O)C=C,4,0.0000,3,0.0000
CCC(C)C1CCCC2C(C)(C)CCCC12C,1,0.0000,1,0.0000
CCC1CCCC2CCCC(C)C12C,1,0.0000,1,0.0000
CC1CCCCC1CCC(C)(C)C,1,0.0000,1,0.0000
CC1CCCC(C)(C)C1CCC2CCC3C(C)(CCC4C(C)(C)CCCC43C)C2,1,0.0000,1,0.0000
*ON1C(=O)C(O*)N(*)C(=O)C1SS*,3,0.0000,3,0.0000
c1cc(cc(c1)C2(C)CCCC(C)C2)C(C)C,1,0.0000,1,0.0000
ccc(c)CC(C)CCC,8,0.0000,8,0.0001
cccc(c)C1CCC2C3CCC4CCCCC4(C)C3CCC12C,55,0.0000,55,0.0003
c1ccc(cc1)c(cCC(CC)(CCC)C(c2cccc(c2)C3(CC)CCCC(CC)(CCC)C3)C)CC,1,0.0000,1,0.0000
ccccc,993,0.0006,930,0.0058
ccc(ccCCC(C)CC)c1ccccc1,4,0.0000,4,0.0000
ccccC,196,0.0001,189,0.0012
CCCC(C)CCCC(C)CCCC(C)CC,8,0.0000,8,0.0001
cc(c1cc(c2c(c1)C(C)CCC2)C)C,4,0.0000,4,0.0000
c1ccc(cc1)CC(c2ccccc2)c3ccccc3C(c4ccccc4C5CC(c6ccccc6)C(c7ccccc7)C5c8ccccc8)Cc9ccccc9,1,0.0000,1,0.0000
*N(C(=O)C=C)C(=C[S+](*)[O-])C(=O)O[H],1,0.0000,1,0.0000
*C(=O)OC=CC=CBr,1,0.0000,1,0.0000
*N=C1C(=O)C=C(C(O[H])=C1C(=O)O[H])N(*)*,1,0.0000,1,0.0000
CCC1(C)C(C)CCC2C3CC(C)(C)CCC3(C)CCC21C,1,0.0000,1,0.0000
CCCCCCC(CC)CCCCC,22,0.0000,22,0.0001
c1ccc2cc3ccccc3cc2c1,13,0.0000,13,0.0001
CCCCCCC1(C)CCC(CC1CC)C(C)C,7,0.0000,7,0.0000
c1ccc(cc1)ccc-c2cccc(c2)CCc3ccccc3,2,0.0000,2,0.0000
CC1CCCC(C)(C1)C2CCC3CC2(C)CC3C,1,0.0000,1,0.0000
*C(=O)C=NC=C,1,0.0000,1,0.0000
c1cc(cc(c1)CCCCCCCCCCCCCCC)-c2cccc(c2)CCCCCCCCCCCCCCCCC,1,0.0000,1,0.0000
CCCCC(C)CCCC1(C)CCCC1C(C)CC,9,0.0000,9,0.0001
ccc1cc2c(c(c1CC)C)C(C)CC2C,1,0.0000,1,0.0000
CCCCCCC1CC1C,4,0.0000,4,0.0000
c1ccc(cc1)CC2c3ccccc3C(c4ccccc4)C5c6ccccc6C(c7ccccc7)C5c8ccccc82,4,0.0000,4,0.0000
c1cc(c(cc1CCC(C)C)CC)C,2,0.0000,2,0.0000
CC1CCC2CC3(C)CC4CC(C)CC4CC3(C)C2C1,2,0.0000,2,0.0000
ccc(c)CCC1C(C)CCC(C)(CC)C1CC,2,0.0000,2,0.0000
c1ccc2c(c1)cccc2C3C4C(C)CCC4C3(C)C,1,0.0000,1,0.0000
CCC(C)C(C)CCCC(C)C1CCCC1CC,2,0.0000,2,0.0000
CCC(C)CCCC(C)C(C)CCC(C)CC,3,0.0000,3,0.0000
CCCCC(C)C1CCC2(C)CC(CC2C1C)C(C)CCCC(C)C,2,0.0000,2,0.0000
c1ccc(cc1)CCCc2cccc3ccccc3c2,2,0.0000,2,0.0000
CCCCCCCCCCCCCCCCCCCCCCCCCCC(C)CCCC,1,0.0000,1,0.0000
CCCC(C)CC(C)CCC,120,0.0001,120,0.0008
ccccCCCCCCCCCcccc,1,0.0000,1,0.0000
CCC(C)C1CCC(C)(CC2CCCC2C)C1C,5,0.0000,5,0.0000
CCC1(C)CCCC1C(C)CCC(C)C(C)(C)C,5,0.0000,5,0.0000
CC1C2CCCCC12C,1,0.0000,1,0.0000
c1ccc2c(c1)CCCCC2C,4,0.0000,4,0.0000
c1cc(c-2ccc(c2cc1CC)C)C,1,0.0000,1,0.0000
cccCC,4,0.0000,4,0.0000
cccc1cc(ccC(C)C)cc(c1)C,1,0.0000,1,0.0000
*OC(O*)(C(*)=O)C1=CC(=O)C=CC1=O,1,0.0000,1,0.0000
c1ccc(cc1)CC(c2ccccc2)c3ccccc3C4c5cc(cc6c5C(C(c7ccccc7)c8ccccc8C6Cc9ccccc9)C4c%10ccccc%10)C(c%11ccccc%11)C%12c%13ccccc%13C(c%14ccccc%14)C%12c%15ccccc%15C(c%16ccccc%16)Cc%17ccccc%17,2,0.0000,2,0.0000
ccc(c)CCCC(C)CCCC1(C)CCCC(C)(C)C1C,1,0.0000,1,0.0000
*OCN(*)C(=O)C(=CO[H])C(*)=O,1,0.0000,1,0.0000
c1ccc(cc1)-cccc2cccc(c2)CCCCC(C)C,4,0.0000,4,0.0000
CCCCC(CC)CC(CC)CC,7,0.0000,7,0.0000
cc(cc-c1ccc2ccccc2c1)C,1,0.0000,1,0.0000
c1cc(ccc1C)C(CC)CCCC,1,0.0000,1,0.0000
CC(C)CCCC(C)CCCC(C)C1(C)CCC2C(C)(C)CCCC2(C)C1C,3,0.0000,3,0.0000
c1ccc(cc1)c(cCC(CC)CCc2cccc(c2)C3(CC)CCC(CC)C3)CC,1,0.0000,1,0.0000
*N=C(O*)N(*)C(=O)C=C,1,0.0000,1,0.0000
*SCN(*)*,42,0.0000,40,0.0003
CCCCCCCCCCCCCCCCCCCCCC(C)C,6,0.0000,6,0.0000
cccc(c)C(c1ccccc1)C,8,0.0000,8,0.0001
cc(cccCCCC(C)C)C,2,0.0000,2,0.0000
*OCN1C=CN(*)C1,3,0.0000,3,0.0000
*OC=C1C(=O)C=CC1=C,2,0.0000,2,0.0000
[Se-2],1,0.0000,1,0.0000
c1ccc(cc1)C2(CC)CCCC(CCCC3CCCC(c4ccccc4)(CC)C3)C2,1,0.0000,1,0.0000
ccc(c)CCC(C)(CC)C(C)C(C)(C)C,1,0.0000,1,0.0000
*OC=1C=CC(=O)C(=O)C1,5,0.0000,5,0.0000
c1ccc(cc1)CCCc2cc(cc(c2)C(c3ccccc3)CCc4ccccc4)C,1,0.0000,1,0.0000
CCC(C)C1(C)CCC(CC)C(C)C1C,9,0.0000,9,0.0001
ccc-ccC,2,0.0000,2,0.0000
cc(cc(cCCC)C)C,1,0.0000,1,0.0000
cc(cccC)CC1C(C)CCC(C(C)C)C1(C)CC,6,0.0000,6,0.0000
CC1CC(C)C(C1)C2(C)CCC3C(CCCC3(C)C)C2,1,0.0000,1,0.0000
c1ccc2cc(ccc2c1)-c3cc(cccC)cc4ccccc43,3,0.0000,3,0.0000
CC(C)CCCC(C)C(C)C(C)(C)C(C)CCC1CCC(C)(C)CC1,5,0.0000,5,0.0000
CCC(C)(CC)C(C)(CC)C(C)C,1,0.0000,1,0.0000
cc1ccccc1c2cccc(c2)C,1,0.0000,1,0.0000
c1c2cc(cc1Cc3cc(cc(c3)C(C)(C)C)Cc4cc(cc(c4)C(C)(C)C)Cc5cc(cc(c5)C(C)(C)C)C2)C(C)(C)C,1,0.0000,1,0.0000
F[Si-2](F)(F)(F)(F)F,1,0.0000,1,0.0000
ccc1ccc(cc1c)CCC,1,0.0000,1,0.0000
CCC1(C)CCCC2(C)C1CCC3(C)C(C)C4(CCC4)CCC32,1,0.0000,1,0.0000
ccc(c)CC1(C)CCC2C(CCCC3(C)CCC2(C)C3C)C1C,2,0.0000,2,0.0000
CCCCCCCCCCCCCCCC(C)CC,11,0.0000,11,0.0001
CCCCCC(C)CCC1C(C)CCC(C)C1CCC,1,0.0000,1,0.0000
c1ccc(cc1)C(c2cccc3ccccc32)CCC,2,0.0000,2,0.0000
*OC(C=CC(C=C)=C(O*)C(*)=O)=C(C=C)C(*)=O,1,0.0000,1,0.0000
ccc(c)C1CCC(C1C)C2(C)CCC3C(C)(C)CCCC3(C)C2C,2,0.0000,2,0.0000
c1ccc(cc1)cc2ccccc2CCC(C)CC,3,0.0000,3,0.0000
*N(*)C(=C)N(*)*,2,0.0000,2,0.0000
c1cc2ccc(cc2c(c1)C)C(C)(C)CC,26,0.0000,24,0.0002
c1cc(ccc1-c2cc(ccc2C(C)C)C)CCC,1,0.0000,1,0.0000
ccc(c)CCC(C)(C)C(CC)C(C)C,1,0.0000,1,0.0000
CCC(C)C(C)CCC1CCCC1(C)C,1,0.0000,1,0.0000
CCCCCCC(CC)CCC,8,0.0000,8,0.0001
cc1ccccc1cc-c2ccccc2C,2,0.0000,2,0.0000
cC(C)CC(C)C,1,0.0000,1,0.0000
CCCC1C(C)CCC2C1(C)CCC3(C)C4CCC(C(C)C)C4(C)CCC23C,2,0.0000,2,0.0000
*N=CC(=O)C=C,1,0.0000,1,0.0000
CCC(CC1(C)CCC(C(C)C)C1C)C(C)C,1,0.0000,1,0.0000
c1cc2cc(cccC)ccc2c(c1)-c3ccc4ccc(cccC)cc4c3,2,0.0000,2,0.0000
*C(=O)C(=O)C(O[H])=CC=C,3,0.0000,3,0.0000
cc(c(cCcc(c(cCcc(c(cCcc(c(cC)C)CC)C)CC)C)CC)C)CC,1,0.0000,1,0.0000
cc(c1ccccc1)C(c(c)c2ccccc2)Cc3ccccc3,1,0.0000,1,0.0000
cc(cccCC(C)C)CC,1,0.0000,1,0.0000
CCC1(C)CCCC2CC3CC21CCC3C,2,0.0000,2,0.0000
CC(C)C1CCC2(C)C1CCC3C2CCC4C3(C)CCC5C(C)(C)CCCC54C,3,0.0000,3,0.0000
ccc(c)CCCC(CC)C(C)C,1,0.0000,1,0.0000
c1cc(cc(c1)CCC(C)C)CCC,3,0.0000,3,0.0000
CCCC(C)C(C)CC(C)(C)C(C)CC,2,0.0000,2,0.0000
CC(C)C1CCC(C)C1CCC23CCC(C)C3CCC2C,1,0.0000,1,0.0000
cCCc1ccccc1,81,0.0000,81,0.0005
*C(=O)OC(=O)C1=CC(=O)C(O[H])=CC1=O,1,0.0000,1,0.0000
CCCCC1(C)CC(C)CC(C)C1CCC,1,0.0000,1,0.0000
ccc(c(c)-c1ccccc1)CCC,1,0.0000,1,0.0000
c1cc(cc(c1)CCC(C)CCCC(C)C)CCC(C)C,3,0.0000,3,0.0000
CCC1(C)CC(C)(CCC1C(C)C)C(C)CCC2CCC(C)C(C)C2,5,0.0000,5,0.0000
CC1CC2CC(C)(C)CC2C3(C)CC13,6,0.0000,6,0.0000
c1ccc2cc(ccc2c1)C(C)(CC)CC,1,0.0000,1,0.0000
[H]OC1=CC(=O)C2OC2C1=O,4,0.0000,4,0.0000
[H]OC=C1C=CC(=O)C(O[H])=C1,1,0.0000,1,0.0000
*OCOC=C,273,0.0002,270,0.0017
CCC1(C)C(C)CCC2(C)C(C)CCC12,2,0.0000,2,0.0000
c1ccc(cc1)Cc2cccc3-c4cc(ccc4CCc32)-c5cccc6c7ccccc7ccc56,1,0.0000,1,0.0000
CC(C)CCCC(C)C1CCC2(C)C(C)C3(CCC12C)CC43CCCC(C)(C)C4,5,0.0000,5,0.0000
*OCN(*)C(=C)C(*)=O,2,0.0000,2,0.0000
c1ccc(cc1)c2cC3(C)CCCCC3(C)CC2,1,0.0000,1,0.0000
*OCOC=O,4,0.0000,4,0.0000
c1ccc(cc1)C(c2cccc(c2)C(c3cccc(c3)C(c4cccc(c4)C(CC)C(c5cccc(c5)C(c6ccccc6)CC)CC)CC)CC)CC,1,0.0000,1,0.0000
c1cc(c(cc1C(C)C)CC)C(C)CC,3,0.0000,3,0.0000
*OC1=CC(=O)OC2OC12,1,0.0000,1,0.0000
*N1C=CC=[N+]2C=CC=[N+]3C=CC=[N+](*)[Co-3]123(*)[n+](*)(*)*,2,0.0000,2,0.0000
*OC(OCO[H])C(*)=O,2,0.0000,2,0.0000
cc(cc-c1cccc(c1)CC)C,2,0.0000,2,0.0000
*C(=O)OCOC=CC=CC(*)=O,1,0.0000,1,0.0000
C#CC#CC#CC#CC=CC1OC1,1,0.0000,1,0.0000
*[O+]=C(*)O[H],2,0.0000,2,0.0000
CC1CCCC2(C)C1CCC3CCCCC32,67,0.0000,67,0.0004
*OC(O*)C(O*)(O*)C(=O)O[H],1,0.0000,1,0.0000
cc(c1cCC2CCCC(C)C2(C)C1)C,79,0.0000,79,0.0005
*OC1=CN(*)C=CC1=CO[H],1,0.0000,1,0.0000
CCC(CC)CCC(C)C(C)C,1,0.0000,1,0.0000
ccc(c)CC1(C)CCC2CC(C)C(C)(C)C(C)CCC2C1C,1,0.0000,1,0.0000
CCC(C)C1CCC2(C)C(CCC2C1C)C(C)CCCC(C)C,10,0.0000,10,0.0001
ccc(cc-c(c)c(ccc(cc)c1ccccc1)C)c2ccccc2,1,0.0000,1,0.0000
*OCOCO*,788,0.0005,787,0.0049
c1ccc(cc1)C(c2cccc(c2)C)c3ccc4cc(ccc4c3)CC(C)C,2,0.0000,2,0.0000
CC1(C)CCCC1CCC2CCCCC2,5,0.0000,5,0.0000
c1cc(cc(c1)C(CC)CC)CC,1,0.0000,1,0.0000
CCCC1CCC(C)C1(C)CC,109,0.0001,109,0.0007
cc(cc1ccccc1C)-c2ccccc2,1,0.0000,1,0.0000
cc1ccccc1cc-c2ccccc2CC,44,0.0000,44,0.0003
*OC1=CC(=O)C(O[H])=CC1=C,4,0.0000,4,0.0000
CC1CCC2(C)C(C)(C)CCCC2(C)C1,1,0.0000,1,0.0000
*OC1=CC(=O)C(O[H])=CC1=O,75,0.0000,72,0.0005
*N(*)C(=CC=C)C(=O)O[H],3,0.0000,3,0.0000
*N(C(=O)C=CC=C)C(=C)C(=O)C1OC1,7,0.0000,7,0.0000
c1ccc(cc1)CCC(C)Cc2cccc(c2)C(C)Cc3ccccc3,6,0.0000,6,0.0000
c1ccc(cc1)Cc2cccc(c2)CCc3c(cccc3Cc4ccccc4)Cc5ccccc5,2,0.0000,2,0.0000
*N(*)C(=CC=CC=[N+](*)*)C(=O)[O-],1,0.0000,1,0.0000
CC1CC(C)(C)C2CCC3(C)C(CCC4C5(C)CC(C)CC(C)(C)C5CCC43C)C2(C)C1,1,0.0000,1,0.0000
ccc(c)cc1ccccc1CCC(C)C,4,0.0000,4,0.0000
c1cc(cc2cc3cc(ccc3c(c2)C(C)C)C)cc(c1)C,1,0.0000,1,0.0000
*OCOC(OC(O*)C=C)C=CC(*)=O,1,0.0000,1,0.0000
CC1(C)CC2(C)C(CCC3C4CCCC4(C)CCC32C)C5(C)CCCCC15,1,0.0000,1,0.0000
CCCC(C)CCCC(C)CC(C)CCCC(C)CC,12,0.0000,12,0.0001
CCCCC(C)C1CCC(C)(CCCC2CCCCC2C)C1(C)C,2,0.0000,2,0.0000
CCC1CCCC1(C)CCCC2(C)CCCCC2,31,0.0000,31,0.0002
[H]OC(=C)C(=O)C=CC=CC=CC=CC=CC=CC=CC=CC=CC=O,1,0.0000,1,0.0000
[H]OC(=C)C(=O)C=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,2,0.0000,2,0.0000
CC(C)C(C)CCC(C)C1CCC2C3CCC4CCCCC4C3CCC12C,1,0.0000,1,0.0000
c1cc(cc(c1)C(C)CC2(C)CCCC2(C)C)C,1,0.0000,1,0.0000
*OOC1(O[H])C=CC(=O)C=C1,3,0.0000,3,0.0000
CCC(C)C(C)(CC)CCC(C)C,7,0.0000,7,0.0000
*C(=O)C=C(O[H])C(=CO[H])C(*)=O,3,0.0000,3,0.0000
c1ccc(cc1)C2CCCC3(C)C2CCC(C)C3CCC(C)CC,1,0.0000,1,0.0000
CCC(C)(C)CCC(C)C(C)C,1,0.0000,1,0.0000
CC(C)CCCC1CCC(C)C1(C)C,1,0.0000,1,0.0000
CCCCCC1C(CC)CCC1(C)C(C)CC,3,0.0000,3,0.0000
cc(c1c(c)CCC1)C,1,0.0000,1,0.0000
c1ccc(cc1)c2cC(c3ccc(cc3)c(cCCC(C)CC(C)CC)CC)CCCCC2,1,0.0000,1,0.0000
CCC1C(C)(C)CCCC1(C)C2CCC(C)CC2,9,0.0000,9,0.0001
*C(=O)C(Cl)=CC=C,1,0.0000,1,0.0000
*OC(O[H])C(=O)C(C(Br)=C)=C(Cl)C(*)=O,1,0.0000,1,0.0000
*N(*)C(=O)C=CC=CC=CC=CC=CC=CC=C,7,0.0000,7,0.0000
CC1CCC(CCC(C)C2(C)CCC3C(C)(C)CCCC3(C)C2(C)C)CC1C,1,0.0000,1,0.0000
*OC(=O)C=CC=CC=CC=CC(=O)O[H],4,0.0000,4,0.0000
c1ccc2c(c1)ccc3c2-c4ccccc4C3,1,0.0000,1,0.0000
c1ccc(cc1)C2C(C)C(C)CC2(C)C,1,0.0000,1,0.0000
*N=C(C(*)=O)C(=CO[H])C(=O)O[H],21,0.0000,21,0.0001
CC(C)C1CCC2CC(C)CCC(C)C(C)CC2C1C,2,0.0000,2,0.0000
CCC1CCC2(C)C3CCC(C3)C12C,1,0.0000,1,0.0000
CC(C)CC(C)CCC(C)C(C)C(C)C,1,0.0000,1,0.0000
CCC(C)C(CCCC1(C)CCC2(C)C(CCC2C1(C)C)C(C)C)C(C)C,9,0.0000,9,0.0001
CCCCC(C)CCC1CCCCC(C)C1,3,0.0000,3,0.0000
*N1C=CC2=NC(C=C2)=CC3=NC(C=C3)=CC4=NC(C=C4)=CC1=CO[H],1,0.0000,1,0.0000
c1ccc(cc1)CCCc2cccc(c2)C(c3ccccc3)C(Cc4ccccc4)CCc5ccccc5,2,0.0000,2,0.0000
CCC(C)CC1(C)CCC23CC43CCCC(C)(C)C4CCC2C1(C)C,16,0.0000,16,0.0001
c1ccc(c(c1)CC)CCc2cccc(c2)C,6,0.0000,5,0.0000
c1ccc(cc1)CCc2ccccc2-c3cccc4c3-c5ccccc5CC4,2,0.0000,2,0.0000
c1ccc(cc1)c2cccc(cc2)c3ccccc3,1,0.0000,1,0.0000
CC(C)C(C)CCC(C)C1CCC2C(C)C(CCC12C)C3(C)CCCCC3,15,0.0000,15,0.0001
CCC1CCC2CCC3(C)C(CCC4C5(C)CCCC(C)(C)C5CCC43C)C12,1,0.0000,1,0.0000
CCCCC1C(CCC)C1(C)C,12,0.0000,12,0.0001
ccc1cCC(CC)C(C1)CC,1,0.0000,1,0.0000
c1ccc(c(c1)-c2cccc(c2)CCCCCCCC)CCCCCCCC,1,0.0000,1,0.0000
c1ccc(cc1)C(CC)C2CCCCC2,19,0.0000,16,0.0001
CCCC(C)C1CCC(C)C(CC)C1,1,0.0000,1,0.0000
CCC1C(C)C(CC(C)C(C)C)CC1CCCC2(C)CCCCC2,1,0.0000,1,0.0000
CCC(CC)CC1C(C)CCC2C(C)(C)CCCC12C,1,0.0000,1,0.0000
*OC(=O)C=CC=CC(*)=O,13,0.0000,13,0.0001
CC(C)C1CCC(C)(C)C1,3,0.0000,3,0.0000
c1cc(c2c(c1)CCCC2(C)C)C,2,0.0000,2,0.0000
ccccccc1ccccc1,1,0.0000,1,0.0000
c1ccc(cc1)CCC(CCC)CCC(C)C,1,0.0000,1,0.0000
CC(C)C(C)C1CC1C(C)C2CCC3CC(CCC32C)C4(C)CCCCC4,3,0.0000,3,0.0000
c1cc(ccc1C(C)C)C(C)(C)CCCC,2,0.0000,2,0.0000
[H]OC=1C#CC=CC1,1,0.0000,1,0.0000
*N1C(=O)C=CC1=CC=CC(=O)C(O[H])=C,1,0.0000,1,0.0000
CCCCCC(C)C1CCC(C1)C2CCC(C)C2,1,0.0000,1,0.0000
c1ccc(cc1)CC(CC)C(C)CC,3,0.0000,3,0.0000
CCC1(C)C(C)CCCC1C(C)C,2,0.0000,2,0.0000
cc(ccCC(C)CC)C,5,0.0000,5,0.0000
*O[N+]([O-])=CC=CC(=O)O[H],1,0.0000,1,0.0000
CCCC(CC)C(C)CCC(C)C,1,0.0000,1,0.0000
*OC1N(*)C(=O)N(*)C1N(*)*,2,0.0000,2,0.0000
CC1CCC2C(C1)C(C)CC2(C)C,13,0.0000,13,0.0001
CCC(CC)C(C)CCCC1(C)CCCCC1CC,25,0.0000,25,0.0002
CC1CCC2C(C)(C)CCC1C2(C)C,1,0.0000,1,0.0000
*S(*)(=O)=O,84,0.0001,74,0.0005
*O[N+](=O)O[H],8,0.0000,8,0.0001
c1ccc(cc1)-c2ccccc2CC(C)C,5,0.0000,5,0.0000
c1ccc(cc1)CCCc2cccc(c2)-c3ccccc3CC(Cc4ccccc4)CCc5ccccc5,2,0.0000,2,0.0000
*C(=O)C(Br)=C,17,0.0000,15,0.0001
c1cc(c(cc1C2CCCC(C)(C)C2C)CC)C,1,0.0000,1,0.0000
*N(*)C=CC=[cH2],1,0.0000,1,0.0000
CC(CCC1(C)CCC(C)(C)CC1)C2(C)CCC3C(C)(C)CCCC43CC24C,1,0.0000,1,0.0000
O=C(C1OC1)C2OC2,6,0.0000,6,0.0000
CC12CCCCC2CCC34CCC(CCC31)C4,1,0.0000,1,0.0000
CCC(C)C1CCC(C1)C(C)C,16,0.0000,16,0.0001
*OC(=O)C=CC=C(S*)C=CC#C,1,0.0000,1,0.0000
CCC1CCC(C)(C)C1(CC)C(C)C,1,0.0000,1,0.0000
CCC(CC)CCCCCCCCC(CC)CC,1,0.0000,1,0.0000
*C(=O)OCON(*)*,3,0.0000,3,0.0000
c1ccc(cc1)CC(CC)CCCC,2,0.0000,2,0.0000
ccc(c)C(C)C(C)CCC(CC)C(C)C,1,0.0000,1,0.0000
cc(c(cCC(C)CCC)C)C,1,0.0000,1,0.0000
c1c(cc(c(c1C)CC)C)CC(C)C,28,0.0000,28,0.0002
*OC(O[H])n(*)*,1,0.0000,1,0.0000
c1ccc(cc1)C(CC)CCCCCC,2,0.0000,2,0.0000
*N(C(=O)C1OC1)COCN(*)C(=O)C2OC2,1,0.0000,1,0.0000
*OP(=O)(OC(=CO[H])C(*)=O)O[H],1,0.0000,1,0.0000
cccc(c)c(cc)c1ccccc1,1,0.0000,1,0.0000
CC1CCCC(CC1)C2CC3C(C)CCCCC3C2C,1,0.0000,1,0.0000
c1cc(cc(c1)C(C)CC(C)C)C,2,0.0000,2,0.0000
*N(*)C(=O)C=CC=C,434,0.0003,432,0.0027
CCCCC(C)(CC)CC(C)C,1,0.0000,1,0.0000
CCCCCC1CCC(C)C(C)C1C,1,0.0000,1,0.0000
*N=C(N(*)C=CC=C)N(*)C(*)=O,1,0.0000,1,0.0000
CCCCCCC(C)(CCCC(C)C)C(C)CC,18,0.0000,18,0.0001
*[Si]1(*)O[Si](*)(*)O[Si](*)(*)O[Si](*)(*)O[Si](*)(*)O[Si](*)(*)O1,1,0.0000,1,0.0000
*SSSSSS*,1,0.0000,1,0.0000
CCCC1CCC(C)C1(C)CCCC(C)(C)C(C)C(C)C,1,0.0000,1,0.0000
CC(CC(C)(C)C)CC(C)(C)C,1,0.0000,1,0.0000
*n(*)[Mg](n(*)*)([n+](*)(*)*)[n+](*)(*)*,1,0.0000,1,0.0000
c(cc1cc(ccc1C)CCCCCC)cCC,1,0.0000,1,0.0000
cc(c1ccccc1)C(C)CC,1,0.0000,1,0.0000
CCC(C)CCCCCCC(C)C,3,0.0000,3,0.0000
c1ccc2c(c1)CCC3(C)C2CCC(C)C3CC,1,0.0000,1,0.0000
c1ccc(cc1)c(cCCCC(C)C)CC,2,0.0000,2,0.0000
*OC(O[H])C(=O)N(*)O[H],4,0.0000,4,0.0000
*OC(=O)C=C(N*)C(=[cH2])N(*)*,1,0.0000,1,0.0000
c1ccc(cc1)C2(C)CCCC(C)(CCC)C2,1,0.0000,1,0.0000
